period,rm_shipped_RM_1,rm_shipped_RM_2,produced_FP_A,remanufactured_FP_A,produced_FP_B,remanufactured_FP_B,produced_FP_C,remanufactured_FP_C,factory_to_wh_FP_A,factory_to_wh_FP_B,factory_to_wh_FP_C,demand_FP_A,shipped_FP_A,unmet_FP_A,demand_FP_B,shipped_FP_B,unmet_FP_B,demand_FP_C,shipped_FP_C,unmet_FP_C,returns_FP_A,returns_FP_B,returns_FP_C,opt_status,opt_cost,opt_emissions,opt_unmet,supplier_inv,factory_rm,factory_fp,factory_rp,warehouse_inv
1,123.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,2.31,3.21,152.55,152.55,0.0,127.24,127.24,0.0,111.21,111.21,0.0,30.6,22.73,17.14,Optimal,785.84,38.88,0.0,547.0,503.0,93.21,70.47,13.8
2,30.75,30.0,75.37,18.55,63.11,11.66,83.31,14.29,142.64,112.46,104.39,149.37,149.37,0.0,119.53,119.53,0.0,104.39,104.39,0.0,29.74,21.25,16.18,Optimal,3532.84,618.43,0.0,789.25,270.34,0.0,84.95,0.0
3,156.75,78.5,120.0,18.02,100.0,10.9,82.69,13.49,138.02,110.9,96.18,152.51,138.02,14.49,123.68,110.9,12.78,122.42,96.18,26.24,27.37,19.48,14.83,Optimal,3855.25,791.93,53.51,614.75,104.08,0.0,96.45,0.0
4,227.81,132.13,120.0,16.59,100.0,9.99,64.66,12.35,136.59,109.99,77.02,159.39,136.59,22.8,131.24,109.99,21.25,112.11,77.02,35.09,27.17,19.37,12.15,Optimal,3599.37,743.19,79.14,485.56,85.96,0.0,109.08,0.0
5,228.0,145.53,120.0,16.47,100.0,9.93,64.62,10.12,136.47,109.93,74.74,146.66,136.47,10.19,125.55,109.93,15.61,103.37,74.74,28.63,27.16,19.43,11.59,Optimal,3578.56,740.43,54.44,420.1,81.49,0.0,124.09,0.0
6,222.81,148.88,120.0,16.46,100.0,9.96,60.63,9.66,136.46,109.96,70.29,160.54,136.46,24.08,140.35,109.96,30.39,119.59,70.29,49.3,26.99,19.13,11.07,Optimal,3480.39,727.79,103.77,362.91,80.37,0.0,138.62,0.0
7,202.0,149.72,120.0,16.36,100.0,9.81,44.62,9.22,136.36,109.81,53.84,144.97,136.36,8.61,122.2,109.81,12.39,108.59,53.84,54.75,26.98,19.43,8.65,Optimal,3360.93,691.48,75.76,330.82,80.09,0.0,151.87,0.0
8,202.0,149.93,120.0,16.35,100.0,9.97,44.62,7.21,136.35,109.97,51.83,243.83,136.35,107.48,189.89,109.97,79.93,178.72,51.83,126.9,27.76,19.43,8.42,Optimal,3167.33,680.55,314.3,298.79,80.02,0.0,167.9,0.0
9,202.0,149.98,120.0,16.83,100.0,9.97,44.62,7.02,136.83,109.97,51.63,230.64,136.83,93.82,203.26,109.97,93.29,162.58,51.63,110.95,27.75,19.49,8.48,Optimal,3216.1,683.14,298.06,266.79,80.01,0.0,183.74,0.0
10,202.0,150.0,120.0,16.82,100.0,10.0,44.62,7.06,136.82,110.0,51.68,228.62,136.82,91.8,188.41,110.0,78.41,178.15,51.68,126.47,27.85,19.37,8.43,Optimal,3180.62,681.41,296.68,234.79,80.0,0.0,199.41,0.0
11,202.0,150.0,120.0,16.88,100.0,9.93,44.62,7.03,136.88,109.93,51.64,235.85,136.88,98.98,182.58,109.93,72.65,163.16,51.64,111.52,27.86,19.08,8.42,Optimal,3224.91,683.59,283.14,202.79,80.0,0.0,214.86,0.0
