period,rm_shipped_RM_1,rm_shipped_RM_2,produced_FP_A,remanufactured_FP_A,produced_FP_B,remanufactured_FP_B,produced_FP_C,remanufactured_FP_C,factory_to_wh_FP_A,factory_to_wh_FP_B,factory_to_wh_FP_C,demand_FP_A,shipped_FP_A,unmet_FP_A,demand_FP_B,shipped_FP_B,unmet_FP_B,demand_FP_C,shipped_FP_C,unmet_FP_C,returns_FP_A,returns_FP_B,returns_FP_C,opt_status,opt_cost,opt_emissions,opt_unmet,supplier_inv,factory_rm,factory_fp,factory_rp,warehouse_inv
1,123.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,2.31,3.21,152.55,152.55,0.0,127.24,127.24,0.0,111.21,111.21,0.0,30.6,22.73,17.14,Optimal,785.84,38.88,0.0,547.0,503.0,93.21,70.47,13.8
2,30.75,30.0,75.37,18.55,63.11,11.66,83.31,14.29,142.64,112.46,104.39,149.37,149.37,0.0,119.53,119.53,0.0,104.39,104.39,0.0,29.74,21.25,16.18,Optimal,3532.84,618.43,0.0,789.25,270.34,0.0,84.95,0.0
3,156.75,78.5,120.0,18.02,100.0,10.9,82.69,13.49,138.02,110.9,96.18,152.51,138.02,14.49,123.68,110.9,12.78,122.42,96.18,26.24,27.37,19.48,14.83,Optimal,3855.25,791.93,53.51,614.75,104.08,0.0,96.45,0.0
4,227.81,132.13,120.0,16.59,100.0,9.99,64.66,12.35,136.59,109.99,77.02,159.39,136.59,22.8,131.24,109.99,21.25,112.11,77.02,35.09,27.17,19.37,12.15,Optimal,3599.37,743.19,79.14,485.56,85.96,0.0,109.08,0.0
5,228.0,145.53,120.0,16.47,100.0,9.93,64.62,10.12,136.47,109.93,74.74,146.66,136.47,10.19,125.55,109.93,15.61,103.37,74.74,28.63,27.16,19.43,11.59,Optimal,3578.56,740.43,54.44,420.1,81.49,0.0,124.09,0.0
6,222.81,148.88,120.0,16.46,100.0,9.96,60.63,9.66,136.46,109.96,70.29,160.54,136.46,24.08,140.35,109.96,30.39,119.59,70.29,49.3,26.99,19.13,11.07,Optimal,3480.39,727.79,103.77,362.91,80.37,0.0,138.62,0.0
7,108.0,149.72,60.0,8.18,100.0,9.81,27.69,6.15,68.18,109.81,33.84,144.97,68.18,76.79,122.2,109.81,12.39,108.59,33.84,74.75,13.33,19.43,5.29,Optimal,2267.05,496.91,163.94,424.82,80.09,0.0,147.56,0.0
8,108.0,149.93,60.0,4.04,100.0,9.97,27.69,2.94,64.04,109.97,30.63,168.33,64.04,104.29,126.39,109.97,16.43,124.22,30.63,93.59,12.81,19.48,4.84,Optimal,2134.21,485.76,214.31,443.98,80.02,0.0,163.75,0.0
9,108.0,149.98,60.0,3.88,100.0,9.99,27.69,2.69,63.88,109.99,30.38,155.14,63.88,91.26,139.76,109.99,29.77,108.08,30.38,77.7,12.7,19.26,4.71,Optimal,2185.01,488.05,198.73,461.97,80.01,0.0,179.94,0.0
10,228.0,150.0,120.0,23.8,100.0,9.88,64.62,9.81,143.8,109.88,74.43,153.12,143.8,9.32,124.91,109.88,15.03,123.65,74.43,49.22,28.71,19.31,11.74,Optimal,3626.63,746.91,73.57,359.97,80.0,0.0,188.9,0.0
11,218.0,150.0,120.0,17.4,100.0,9.9,56.92,9.78,137.4,109.9,66.71,160.35,137.4,22.95,119.08,109.9,9.17,108.66,66.71,41.96,27.22,19.6,10.56,Optimal,3501.0,722.5,74.09,307.97,80.0,0.0,202.53,0.0
