period,rm_shipped_rm1,rm_shipped_rm2,rm_shipped_rm3,rm_shipped_rm4,transport_mode,produced_fp1,remanufactured_fp1,produced_fp2,remanufactured_fp2,produced_fp3,remanufactured_fp3,factory_to_wh_fp1,factory_to_wh_fp2,factory_to_wh_fp3,demand_fp1,shipped_fp1,unmet_fp1,demand_fp2,shipped_fp2,unmet_fp2,demand_fp3,shipped_fp3,unmet_fp3,returns_rp1,returns_rp2,returns_rp3,total_cost,total_emissions,social_impact,service_level,supplier_inv,factory_rm,factory_fp,factory_rp,warehouse_inv
1,250.0,260.0,255.0,240.0,truck,152.55,0.0,127.24,0.0,110.0,0.0,202.55,167.24,130.0,149.37,360.55,0.0,119.53,299.24,0.0,104.39,238.0,0.0,36.05,59.85,35.7,7951.39,1131.2,477292.14,100.0,250.0,1215.21,0.0,131.6,0.0
2,97.58,120.61,65.43,120.0,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,152.51,152.55,0.0,123.68,127.24,0.0,122.42,110.0,12.42,15.25,25.45,16.5,5504.61,1015.46,477292.14,97.79,421.39,1229.03,0.0,188.81,0.0
3,97.58,120.61,65.43,119.36,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,159.39,152.55,6.84,131.24,127.24,4.0,112.11,110.0,2.11,15.25,25.45,16.5,5491.4,1014.8,477292.14,96.79,593.42,1242.21,0.0,246.01,0.0
4,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,146.66,152.55,0.0,125.55,127.24,0.0,103.37,110.0,0.0,15.25,25.45,16.5,5525.45,1016.51,477292.14,100.0,743.79,1242.21,0.0,303.21,0.0
5,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,160.54,152.55,8.0,140.35,127.24,13.11,119.59,110.0,9.59,15.25,25.45,16.5,5524.14,1016.44,477292.14,92.7,822.86,1242.21,0.0,360.42,0.0
6,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,144.97,152.55,0.0,122.2,127.24,0.0,108.59,110.0,0.0,15.25,25.45,16.5,5502.0,1015.33,477292.14,100.0,866.08,1242.21,0.0,417.62,0.0
7,72.72,90.04,43.77,74.2,truck,51.71,30.0,61.15,25.0,27.5,28.0,81.71,86.15,55.5,168.33,81.71,126.91,126.39,86.15,100.27,124.22,55.5,100.13,8.17,17.23,8.32,3417.76,498.6,477292.14,53.31,1018.05,1382.57,0.0,260.35,0.0
8,36.36,45.02,21.88,37.1,truck,51.71,10.17,61.15,20.4,27.5,14.17,61.87,81.56,41.67,155.14,61.87,125.64,139.76,81.56,110.66,108.08,41.67,84.64,6.19,16.31,6.25,2213.06,413.74,477292.14,45.93,1217.55,1382.57,0.0,179.2,0.0
9,36.36,45.02,21.88,37.1,truck,51.71,2.06,61.15,3.62,27.5,2.08,53.77,64.78,29.58,153.12,53.77,121.68,124.91,64.78,91.3,123.65,29.58,102.92,5.38,12.96,4.44,2383.05,396.4,477292.14,36.88,1300.46,1382.57,0.0,182.8,0.0
10,61.22,75.58,43.55,69.08,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,160.35,152.55,7.8,119.08,127.24,0.0,108.66,110.0,0.0,15.25,25.45,16.5,5498.79,1015.17,477292.14,100.0,1210.57,1242.21,0.0,240.01,0.0
11,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,157.78,152.55,5.23,138.02,127.24,10.78,114.91,110.0,4.91,15.25,25.45,16.5,5539.31,1017.2,477292.14,94.9,1070.21,1242.21,0.0,297.21,0.0
12,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,149.36,152.55,0.0,122.26,127.24,0.0,111.54,110.0,1.54,15.25,25.45,16.5,5507.3,1015.6,477292.14,100.0,1070.21,1242.21,0.0,354.41,0.0
13,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,139.59,152.55,0.0,128.44,127.24,1.2,112.47,110.0,2.47,15.25,25.45,16.5,5519.16,1016.19,477292.14,100.0,1070.21,1242.21,0.0,411.62,0.0
14,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,141.56,152.55,0.0,132.45,127.24,5.21,118.97,110.0,8.97,15.25,25.45,16.5,5585.95,1019.53,477292.14,99.19,1070.21,1242.21,0.0,468.82,0.0
15,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,154.05,152.55,1.5,126.31,127.24,0.0,95.28,110.0,0.0,15.25,25.45,16.5,5508.61,1015.66,477292.14,100.0,1070.21,1242.21,0.0,526.02,0.0
16,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,146.05,152.55,0.0,129.15,127.24,1.91,119.46,110.0,9.46,15.25,25.45,16.5,5515.09,1015.99,477292.14,98.77,1070.21,1242.21,0.0,583.23,0.0
17,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,124.29,152.55,0.0,142.76,127.24,15.52,111.49,110.0,1.49,15.25,25.45,16.5,5555.34,1018.0,477292.14,100.0,1070.21,1242.21,0.0,640.43,0.0
18,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,168.28,152.55,15.73,140.14,127.24,12.9,89.3,110.0,0.0,15.25,25.45,16.5,5532.15,1016.84,477292.14,98.01,1070.21,1242.21,0.0,697.63,0.0
19,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,159.56,152.55,7.01,133.01,127.24,5.77,113.6,110.0,3.6,15.25,25.45,16.5,5512.78,1015.87,477292.14,95.97,1070.21,1242.21,0.0,754.84,0.0
20,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,148.52,152.55,0.0,111.84,127.24,0.0,110.26,110.0,0.26,15.25,25.45,16.5,5520.05,1016.24,477292.14,100.0,1070.21,1242.21,0.0,812.04,0.0
21,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,155.4,152.55,2.86,140.61,127.24,13.37,110.18,110.0,0.18,15.25,25.45,16.5,5504.89,1015.48,477292.14,95.96,1070.21,1242.21,0.0,869.24,0.0
22,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,119.94,152.55,0.0,128.54,127.24,1.3,110.38,110.0,0.38,15.25,25.45,16.5,5517.48,1016.11,477292.14,100.0,1070.21,1242.21,0.0,926.45,0.0
23,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,149.49,152.55,0.0,130.97,127.24,3.73,112.5,110.0,2.5,15.25,25.45,16.5,5522.63,1016.36,477292.14,99.19,1070.21,1242.21,0.0,983.65,0.0
24,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,135.13,152.55,0.0,129.25,127.24,2.01,98.84,110.0,0.0,15.25,25.45,16.5,5590.14,1019.74,477292.14,100.0,1070.21,1242.21,0.0,1040.85,0.0
