period,rm_shipped_RM_1,rm_shipped_RM_2,produced_FP_A,remanufactured_FP_A,produced_FP_B,remanufactured_FP_B,produced_FP_C,remanufactured_FP_C,factory_to_wh_FP_A,factory_to_wh_FP_B,factory_to_wh_FP_C,demand_FP_A,shipped_FP_A,unmet_FP_A,demand_FP_B,shipped_FP_B,unmet_FP_B,demand_FP_C,shipped_FP_C,unmet_FP_C,returns_FP_A,returns_FP_B,returns_FP_C,opt_status,opt_cost,opt_emissions,opt_unmet,supplier_inv,factory_rm,factory_fp,factory_rp,warehouse_inv
1,123.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,2.31,3.21,152.55,152.55,0.0,127.24,127.24,0.0,111.21,111.21,0.0,30.6,22.73,17.14,Optimal,785.84,38.88,0.0,547.0,503.0,93.21,70.47,13.8
2,30.75,30.0,75.37,18.55,63.11,11.66,83.31,14.29,142.64,112.46,104.39,149.37,149.37,0.0,119.53,119.53,0.0,104.39,104.39,0.0,29.74,21.25,16.18,Optimal,3532.84,618.43,0.0,789.25,270.34,0.0,84.95,0.0
3,156.75,78.5,120.0,18.02,100.0,10.9,82.69,13.49,138.02,110.9,96.18,152.51,138.02,14.49,123.68,110.9,12.78,122.42,96.18,26.24,27.37,19.48,14.83,Optimal,3855.25,791.93,53.51,614.75,104.08,0.0,96.45,0.0
4,227.81,132.13,120.0,16.59,100.0,9.99,64.66,12.35,136.59,109.99,77.02,159.39,136.59,22.8,131.24,109.99,21.25,112.11,77.02,35.09,27.17,19.37,12.15,Optimal,3599.37,743.19,79.14,485.56,85.96,0.0,109.08,0.0
5,228.0,145.53,120.0,16.47,100.0,9.93,64.62,10.12,136.47,109.93,74.74,146.66,136.47,10.19,125.55,109.93,15.61,103.37,74.74,28.63,10.86,7.77,4.64,Optimal,3578.56,740.43,54.44,420.1,81.49,0.0,89.18,0.0
6,222.81,148.88,120.0,6.58,100.0,3.99,60.63,3.86,126.58,103.99,64.49,160.54,126.58,33.96,140.35,103.99,36.36,119.59,64.49,55.1,4.02,2.87,1.64,Optimal,3266.79,702.77,125.42,362.91,80.37,0.0,80.64,0.0
7,202.0,149.72,120.0,2.44,100.0,1.47,44.62,1.37,122.44,101.47,45.98,144.97,122.44,22.54,122.2,101.47,20.73,108.59,45.98,62.61,1.54,1.14,0.48,Optimal,3061.6,656.58,105.88,330.82,80.09,0.0,77.57,0.0
8,202.0,149.93,120.0,0.93,100.0,0.58,44.62,0.4,120.93,100.58,45.01,168.33,120.93,47.4,126.39,100.58,25.81,124.22,45.01,79.21,0.61,0.45,0.19,Optimal,2964.7,649.51,152.42,298.79,80.02,0.0,76.56,0.0
9,202.0,149.98,120.0,0.37,100.0,0.23,44.62,0.16,120.37,100.23,44.77,155.14,120.37,34.77,139.76,100.23,39.53,108.08,44.77,63.31,0.24,0.18,0.07,Optimal,2999.87,650.5,137.6,266.79,80.01,0.0,76.16,0.0
10,202.0,150.0,120.0,0.15,100.0,0.09,44.62,0.06,120.15,100.09,44.68,153.12,120.15,32.97,124.91,100.09,24.82,123.65,44.68,78.97,0.1,0.07,0.03,Optimal,2964.82,648.45,136.76,234.79,80.0,0.0,76.0,0.0
11,202.0,150.0,120.0,0.06,100.0,0.04,44.62,0.03,120.06,100.04,44.64,160.35,120.06,40.29,119.08,100.04,19.04,108.66,44.64,64.02,0.04,0.03,0.01,Optimal,3007.89,650.48,123.36,202.79,80.0,0.0,75.94,0.0
