period,rm_shipped_rm1,rm_shipped_rm2,rm_shipped_rm3,rm_shipped_rm4,transport_mode,produced_fp1,remanufactured_fp1,produced_fp2,remanufactured_fp2,produced_fp3,remanufactured_fp3,factory_to_wh_fp1,factory_to_wh_fp2,factory_to_wh_fp3,demand_fp1,shipped_fp1,unmet_fp1,demand_fp2,shipped_fp2,unmet_fp2,demand_fp3,shipped_fp3,unmet_fp3,returns_rp1,returns_rp2,returns_rp3,total_cost,total_emissions,social_impact,service_level,supplier_inv,factory_rm,factory_fp,factory_rp,warehouse_inv
1,250.0,260.0,255.0,240.0,truck,152.55,0.0,127.24,0.0,110.0,0.0,202.55,167.24,130.0,149.37,360.55,0.0,119.53,299.24,0.0,104.39,238.0,0.0,36.05,59.85,35.7,7951.39,1131.2,477292.14,100.0,250.0,1215.21,0.0,131.6,0.0
2,97.58,120.61,65.43,120.0,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,152.51,152.55,0.0,123.68,127.24,0.0,122.42,110.0,12.42,15.25,25.45,16.5,5504.61,1015.46,477292.14,97.79,421.39,1229.03,0.0,188.81,0.0
3,97.58,120.61,65.43,119.36,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,159.39,152.55,6.84,131.24,127.24,4.0,112.11,110.0,2.11,15.25,25.45,16.5,5491.4,1014.8,477292.14,96.79,593.42,1242.21,0.0,246.01,0.0
4,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,146.66,152.55,0.0,125.55,127.24,0.0,103.37,110.0,0.0,15.25,25.45,16.5,5525.45,1016.51,477292.14,100.0,743.79,1242.21,0.0,303.21,0.0
5,97.58,120.61,65.43,106.18,truck,101.27,40.91,63.62,37.5,55.0,42.0,142.18,101.12,97.0,160.54,142.18,125.12,140.35,101.12,111.78,119.59,97.0,97.51,5.69,8.09,5.82,5349.88,765.62,477292.14,80.93,822.86,1412.1,0.0,44.49,0.0
6,60.04,67.8,33.34,58.71,truck,101.27,2.84,63.62,10.59,55.0,3.51,104.12,74.22,58.51,144.97,104.12,110.16,122.2,74.22,101.99,108.59,58.51,91.05,4.16,5.94,3.51,3109.95,584.41,477292.14,63.03,1035.97,1412.1,0.0,13.61,0.0
7,60.04,67.8,33.34,58.71,truck,101.27,2.08,63.62,1.98,55.0,1.76,103.36,65.6,56.76,168.33,103.36,126.91,126.39,65.6,100.27,124.22,56.76,100.13,4.13,5.25,3.41,3727.09,607.03,477292.14,53.88,1139.68,1412.1,0.0,12.79,0.0
8,60.04,67.8,33.34,58.71,truck,101.27,2.07,63.62,1.75,55.0,1.7,103.34,65.37,56.7,155.14,103.34,125.64,139.76,65.37,110.66,108.08,56.7,84.64,4.13,5.23,3.4,2892.81,565.1,477292.14,55.94,1200.97,1412.1,0.0,12.77,0.0
9,60.04,67.8,33.34,58.71,truck,101.27,2.07,63.62,1.74,55.0,1.7,103.34,65.36,56.7,153.12,103.34,121.68,124.91,65.36,91.3,123.65,56.7,102.92,4.13,5.23,3.4,3722.69,606.59,477292.14,56.12,1240.1,1412.1,0.0,12.76,0.0
10,60.04,67.8,33.34,58.71,truck,101.27,2.07,63.62,1.74,55.0,1.7,103.34,65.36,56.7,160.35,103.34,130.88,119.08,65.36,96.3,108.66,56.7,88.07,4.13,5.23,3.4,2892.73,565.09,477292.14,58.08,1240.1,1412.1,0.0,12.76,0.0
11,60.04,67.8,33.34,58.71,truck,101.27,2.07,63.62,1.74,55.0,1.7,103.34,65.36,56.7,157.78,103.34,118.28,138.02,65.36,113.06,114.91,56.7,88.19,4.13,5.23,3.4,3722.68,606.59,477292.14,54.88,1240.1,1412.1,0.0,12.76,0.0
12,60.04,67.8,33.34,58.71,truck,101.27,2.07,63.62,1.74,55.0,1.7,103.34,65.36,56.7,149.36,103.34,121.58,122.26,65.36,97.1,111.54,56.7,94.31,4.13,5.23,3.4,3243.0,582.6,477292.14,58.83,1240.1,1412.1,0.0,12.76,0.0
13,60.04,67.8,33.34,58.71,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,139.59,152.55,0.0,128.44,127.24,1.2,112.47,110.0,2.47,15.25,25.45,16.5,5519.16,1016.19,477292.14,100.0,1240.1,1242.21,0.0,69.97,0.0
14,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,141.56,152.55,0.0,132.45,127.24,5.21,118.97,110.0,8.97,15.25,25.45,16.5,5585.95,1019.53,477292.14,99.19,1070.21,1242.21,0.0,127.17,0.0
15,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,154.05,152.55,1.5,126.31,127.24,0.0,95.28,110.0,0.0,15.25,25.45,16.5,5508.61,1015.66,477292.14,100.0,1070.21,1242.21,0.0,184.37,0.0
16,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,146.05,152.55,0.0,129.15,127.24,1.91,119.46,110.0,9.46,15.25,25.45,16.5,5515.09,1015.99,477292.14,98.77,1070.21,1242.21,0.0,241.58,0.0
17,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,124.29,152.55,0.0,142.76,127.24,15.52,111.49,110.0,1.49,15.25,25.45,16.5,5555.34,1018.0,477292.14,100.0,1070.21,1242.21,0.0,298.78,0.0
18,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,168.28,152.55,15.73,140.14,127.24,12.9,89.3,110.0,0.0,15.25,25.45,16.5,5532.15,1016.84,477292.14,98.01,1070.21,1242.21,0.0,355.99,0.0
19,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,159.56,152.55,7.01,133.01,127.24,5.77,113.6,110.0,3.6,15.25,25.45,16.5,5512.78,1015.87,477292.14,95.97,1070.21,1242.21,0.0,413.19,0.0
20,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,148.52,152.55,0.0,111.84,127.24,0.0,110.26,110.0,0.26,15.25,25.45,16.5,5520.05,1016.24,477292.14,100.0,1070.21,1242.21,0.0,470.39,0.0
21,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,155.4,152.55,2.86,140.61,127.24,13.37,110.18,110.0,0.18,15.25,25.45,16.5,5504.89,1015.48,477292.14,95.96,1070.21,1242.21,0.0,527.6,0.0
22,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,119.94,152.55,0.0,128.54,127.24,1.3,110.38,110.0,0.38,15.25,25.45,16.5,5517.48,1016.11,477292.14,100.0,1070.21,1242.21,0.0,584.8,0.0
23,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,149.49,152.55,0.0,130.97,127.24,3.73,112.5,110.0,2.5,15.25,25.45,16.5,5522.63,1016.36,477292.14,99.19,1070.21,1242.21,0.0,642.0,0.0
24,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,135.13,152.55,0.0,129.25,127.24,2.01,98.84,110.0,0.0,15.25,25.45,16.5,5590.14,1019.74,477292.14,100.0,1070.21,1242.21,0.0,699.21,0.0
