period,rm_shipped_rm1,rm_shipped_rm2,rm_shipped_rm3,rm_shipped_rm4,transport_mode,produced_fp1,remanufactured_fp1,produced_fp2,remanufactured_fp2,produced_fp3,remanufactured_fp3,factory_to_wh_fp1,factory_to_wh_fp2,factory_to_wh_fp3,demand_fp1,shipped_fp1,unmet_fp1,demand_fp2,shipped_fp2,unmet_fp2,demand_fp3,shipped_fp3,unmet_fp3,returns_rp1,returns_rp2,returns_rp3,total_cost,total_emissions,social_impact,service_level,supplier_inv,factory_rm,factory_fp,factory_rp,warehouse_inv
1,250.0,260.0,255.0,240.0,truck,152.55,0.0,127.24,0.0,110.0,0.0,202.55,167.24,130.0,149.37,360.55,0.0,119.53,299.24,0.0,104.39,238.0,0.0,36.05,59.85,35.7,7951.39,1131.2,477292.14,100.0,250.0,1215.21,0.0,131.6,0.0
2,97.58,120.61,65.43,120.0,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,152.51,152.55,0.0,123.68,127.24,0.0,122.42,110.0,12.42,15.25,25.45,16.5,5504.61,1015.46,477292.14,97.79,421.39,1229.03,0.0,188.81,0.0
3,97.58,120.61,65.43,119.36,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,159.39,152.55,6.84,131.24,127.24,4.0,112.11,110.0,2.11,15.25,25.45,16.5,5491.4,1014.8,477292.14,96.79,593.42,1242.21,0.0,246.01,0.0
4,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,146.66,152.55,0.0,125.55,127.24,0.0,103.37,110.0,0.0,15.25,25.45,16.5,5525.45,1016.51,477292.14,100.0,743.79,1242.21,0.0,303.21,0.0
5,97.58,120.61,65.43,106.18,sea,202.55,40.91,127.24,45.4,110.0,42.6,243.46,172.64,152.6,160.54,243.46,0.0,140.35,172.64,0.0,119.59,152.6,0.0,9.74,13.81,9.16,6741.99,1168.49,477292.14,100.0,822.86,1192.21,0.0,32.71,0.0
6,120.08,135.61,66.68,117.43,sea,202.55,4.87,127.24,4.6,110.0,4.58,207.42,131.85,114.58,144.97,207.42,0.0,122.2,131.85,0.0,108.59,114.58,0.0,8.3,10.55,6.87,5563.75,1049.95,477292.14,100.0,816.08,1192.21,0.0,25.72,0.0
7,120.08,135.61,66.68,117.43,sea,202.55,4.15,127.24,3.52,110.0,3.44,206.7,130.76,113.44,168.33,206.7,0.0,126.39,130.76,0.0,124.22,113.44,10.79,8.27,10.46,6.81,5571.54,1047.72,477292.14,100.0,833.04,1192.21,0.0,25.53,0.0
8,120.08,135.61,66.68,117.43,sea,202.55,4.13,127.24,3.49,110.0,3.4,206.68,130.73,113.4,155.14,206.68,0.0,139.76,130.73,9.03,108.08,113.4,0.0,8.27,10.46,6.8,5522.68,1046.58,477292.14,100.0,850.01,1192.21,0.0,25.53,0.0
9,120.08,135.61,66.68,117.43,sea,202.55,4.13,127.24,3.49,110.0,3.4,206.68,130.73,113.4,153.12,206.68,0.0,124.91,130.73,0.0,123.65,113.4,10.25,8.27,10.46,6.8,5578.87,1047.82,477292.14,100.0,858.47,1192.21,0.0,25.53,0.0
10,120.08,135.61,66.68,117.43,sea,202.55,4.13,127.24,3.49,110.0,3.4,206.68,130.73,113.4,160.35,206.68,0.0,119.08,130.73,0.0,108.66,113.4,0.0,8.27,10.46,6.8,5534.6,1046.84,477292.14,100.0,865.58,1192.21,0.0,25.53,0.0
11,120.08,135.61,66.68,117.43,sea,202.55,4.13,127.24,3.49,110.0,3.4,206.68,130.73,113.4,157.78,206.68,0.0,138.02,130.73,7.3,114.91,113.4,1.51,8.27,10.46,6.8,5572.99,1047.69,477292.14,100.0,871.36,1192.21,0.0,25.53,0.0
12,120.08,135.61,66.68,117.43,sea,202.55,4.13,127.24,3.49,110.0,3.4,206.68,130.73,113.4,149.36,206.68,0.0,122.26,130.73,0.0,111.54,113.4,0.0,8.27,10.46,6.8,5537.54,1046.91,477292.14,100.0,873.93,1192.21,0.0,25.53,0.0
13,120.08,135.61,66.68,117.43,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,139.59,152.55,0.0,128.44,127.24,1.2,112.47,110.0,2.47,15.25,25.45,16.5,5519.16,1016.19,477292.14,100.0,876.5,1242.21,0.0,82.73,0.0
14,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,141.56,152.55,0.0,132.45,127.24,5.21,118.97,110.0,8.97,15.25,25.45,16.5,5585.95,1019.53,477292.14,99.19,929.08,1242.21,0.0,139.94,0.0
15,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,154.05,152.55,1.5,126.31,127.24,0.0,95.28,110.0,0.0,15.25,25.45,16.5,5508.61,1015.66,477292.14,100.0,942.9,1242.21,0.0,197.14,0.0
16,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,146.05,152.55,0.0,129.15,127.24,1.91,119.46,110.0,9.46,15.25,25.45,16.5,5515.09,1015.99,477292.14,98.77,956.72,1242.21,0.0,254.34,0.0
17,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,124.29,152.55,0.0,142.76,127.24,15.52,111.49,110.0,1.49,15.25,25.45,16.5,5555.34,1018.0,477292.14,100.0,970.54,1242.21,0.0,311.55,0.0
18,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,168.28,152.55,15.73,140.14,127.24,12.9,89.3,110.0,0.0,15.25,25.45,16.5,5532.15,1016.84,477292.14,98.01,984.37,1242.21,0.0,368.75,0.0
19,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,159.56,152.55,7.01,133.01,127.24,5.77,113.6,110.0,3.6,15.25,25.45,16.5,5512.78,1015.87,477292.14,95.97,998.19,1242.21,0.0,425.95,0.0
20,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,148.52,152.55,0.0,111.84,127.24,0.0,110.26,110.0,0.26,15.25,25.45,16.5,5520.05,1016.24,477292.14,100.0,1012.01,1242.21,0.0,483.16,0.0
21,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,155.4,152.55,2.86,140.61,127.24,13.37,110.18,110.0,0.18,15.25,25.45,16.5,5504.89,1015.48,477292.14,95.96,1025.83,1242.21,0.0,540.36,0.0
22,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,119.94,152.55,0.0,128.54,127.24,1.3,110.38,110.0,0.38,15.25,25.45,16.5,5517.48,1016.11,477292.14,100.0,1039.66,1242.21,0.0,597.56,0.0
23,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,149.49,152.55,0.0,130.97,127.24,3.73,112.5,110.0,2.5,15.25,25.45,16.5,5522.63,1016.36,477292.14,99.19,1053.48,1242.21,0.0,654.77,0.0
24,97.58,120.61,65.43,106.18,truck,152.55,0.0,127.24,0.0,110.0,0.0,152.55,127.24,110.0,135.13,152.55,0.0,129.25,127.24,2.01,98.84,110.0,0.0,15.25,25.45,16.5,5590.14,1019.74,477292.14,100.0,1067.3,1242.21,0.0,711.97,0.0
