period,rm_shipped_RM_1,rm_shipped_RM_2,produced_FP_A,remanufactured_FP_A,produced_FP_B,remanufactured_FP_B,produced_FP_C,remanufactured_FP_C,factory_to_wh_FP_A,factory_to_wh_FP_B,factory_to_wh_FP_C,demand_FP_A,shipped_FP_A,unmet_FP_A,demand_FP_B,shipped_FP_B,unmet_FP_B,demand_FP_C,shipped_FP_C,unmet_FP_C,returns_FP_A,returns_FP_B,returns_FP_C,opt_status,opt_cost,opt_emissions,opt_unmet,supplier_inv,factory_rm,factory_fp,factory_rp,warehouse_inv
1,123.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,2.31,3.21,152.55,152.55,0.0,127.24,127.24,0.0,111.21,111.21,0.0,30.6,22.73,17.14,Optimal,785.84,38.88,0.0,547.0,503.0,93.21,70.47,13.8
2,30.75,30.0,75.37,18.55,63.11,11.66,83.31,14.29,142.64,112.46,104.39,149.37,149.37,0.0,119.53,119.53,0.0,104.39,104.39,0.0,29.74,21.25,16.18,Optimal,3532.84,618.43,0.0,789.25,270.34,0.0,84.95,0.0
3,156.75,78.5,120.0,18.02,100.0,10.9,82.69,13.49,138.02,110.9,96.18,152.51,138.02,14.49,123.68,110.9,12.78,122.42,96.18,26.24,27.37,19.48,14.83,Optimal,3855.25,791.93,53.51,614.75,104.08,0.0,96.45,0.0
4,227.81,132.13,120.0,16.59,100.0,9.99,64.66,12.35,136.59,109.99,77.02,159.39,136.59,22.8,131.24,109.99,21.25,112.11,77.02,35.09,27.17,19.37,12.15,Optimal,3599.37,743.19,79.14,485.56,85.96,0.0,109.08,0.0
5,228.0,145.53,120.0,16.47,100.0,9.93,64.62,10.12,136.47,109.93,74.74,146.66,136.47,10.19,125.55,109.93,15.61,103.37,74.74,28.63,27.16,19.43,11.59,Optimal,3578.56,740.43,54.44,420.1,81.49,0.0,124.09,0.0
6,172.81,148.88,120.0,16.46,100.0,9.96,22.16,9.66,136.46,109.96,31.82,160.54,136.46,24.08,140.35,109.96,30.39,119.59,31.82,87.76,26.99,19.13,5.14,Optimal,3039.61,634.02,142.23,312.91,80.37,0.0,132.69,0.0
7,148.81,149.72,117.34,16.36,100.0,9.81,6.15,4.28,133.7,109.81,10.44,144.97,133.7,11.27,122.2,109.81,12.39,108.59,10.44,98.16,26.42,19.43,1.66,Optimal,2836.79,585.7,121.82,234.0,80.09,0.0,144.32,0.0
8,80.0,149.93,60.0,16.01,100.0,9.97,6.15,1.38,76.01,109.97,7.53,168.33,76.01,92.32,126.39,109.97,16.43,124.22,7.53,116.69,15.36,19.48,1.2,Optimal,2135.61,451.67,225.44,223.98,80.02,0.0,148.13,0.0
9,80.0,149.98,60.0,9.31,100.0,9.99,6.15,1.0,69.31,109.99,7.15,155.14,69.31,85.84,139.76,109.99,29.77,108.08,7.15,100.93,14.33,19.26,1.14,Optimal,2088.11,445.09,216.53,213.97,80.01,0.0,158.43,0.0
10,180.0,150.0,110.0,8.68,100.0,9.88,36.92,0.95,118.68,109.88,37.87,153.12,118.68,34.43,124.91,109.88,15.03,123.65,37.87,85.78,23.66,19.31,6.22,Optimal,2961.6,630.17,135.24,203.97,80.0,0.0,184.1,0.0
11,180.0,150.0,110.0,14.34,100.0,9.9,36.92,5.19,124.34,109.9,42.11,160.35,124.34,36.01,119.08,109.9,9.17,108.66,42.11,66.55,24.74,19.6,6.91,Optimal,3101.84,643.42,111.74,193.97,80.0,0.0,200.47,0.0
