period;rm_shipped_RM_1;rm_shipped_RM_2;produced_FP_A;produced_FP_B;remanufactured_FP_A;remanufactured_FP_B;factory_to_wh_FP_A;factory_to_wh_FP_B;demand_FP_A;shipped_FP_A;unmet_FP_A;demand_FP_B;shipped_FP_B;unmet_FP_B;returns_FP_A;returns_FP_B;supplier_inv_total;factory_rm_total;factory_fp_total;factory_rp_total;warehouse_inv_total
1;80.0;74.0;60.0;50.0;0.0;0.0;90.0;75.0;73.32;73.32;0.0;60.62;60.42;0.21;14.77;10.93;306.0;157.0;0.0;25.7;211.26
2;72.0;75.0;60.0;50.0;6.71;4.2;66.71;54.2;76.72;76.72;0.0;65.88;43.92;21.96;15.41;7.75;323.0;157.0;0.0;36.01;211.53
3;72.0;75.0;60.0;50.0;7.0;2.98;67.0;52.98;76.32;61.97;14.35;63.32;42.21;21.11;12.41;7.37;323.0;157.0;0.0;44.21;227.34
4;72.0;75.0;60.0;50.0;5.64;2.84;65.64;52.84;76.09;62.72;13.37;58.23;38.82;19.41;12.69;6.79;323.0;157.0;0.0;53.8;244.28
5;72.0;75.0;60.0;50.0;5.77;2.61;65.77;52.61;84.0;69.59;14.42;59.69;42.73;16.96;14.0;7.68;323.0;157.0;0.0;65.74;250.34
6;72.0;75.0;60.0;50.0;6.37;2.95;66.37;52.95;63.7;54.74;8.96;57.14;46.31;10.83;10.95;8.2;323.0;157.0;0.0;74.05;268.61
7;72.0;75.0;60.0;50.0;4.98;3.15;64.98;53.15;81.37;70.94;10.42;53.23;47.23;6.01;14.42;8.47;323.0;157.0;0.0;87.36;268.57
8;72.0;75.0;60.0;50.0;6.55;3.26;66.55;53.26;80.73;69.11;11.62;69.11;60.88;8.23;13.99;10.96;323.0;157.0;0.0;100.87;258.4
9;72.0;75.0;60.0;50.0;6.36;4.22;66.36;54.22;68.98;59.81;9.18;69.14;58.04;11.09;12.11;10.33;323.0;157.0;0.0;110.84;261.12
10;72.0;75.0;60.0;50.0;5.51;3.97;65.51;53.97;76.0;66.91;9.09;66.8;54.33;12.47;13.61;9.77;323.0;157.0;0.0;123.0;259.36
11;72.0;75.0;60.0;50.0;6.19;3.76;66.19;53.76;80.25;69.72;10.53;56.16;46.85;9.32;13.96;8.42;323.0;157.0;0.0;133.69;262.74
12;72.0;75.0;60.0;50.0;6.35;3.24;66.35;53.24;76.23;65.43;10.8;73.87;61.59;12.28;13.2;10.97;323.0;157.0;0.0;146.66;255.3
13;72.0;75.0;60.0;50.0;6.0;4.22;66.0;54.22;79.66;67.83;11.83;55.54;46.17;9.37;13.63;8.24;323.0;157.0;0.0;156.45;261.52
14;72.0;75.0;60.0;50.0;6.19;3.17;66.19;53.17;64.39;56.93;7.46;61.58;53.17;8.4;11.59;9.58;323.0;157.0;0.0;166.69;270.78
15;72.0;75.0;60.0;50.0;5.27;3.69;65.27;53.69;77.98;69.7;8.28;65.09;56.03;9.06;14.23;10.06;323.0;157.0;0.0;180.39;264.01
16;72.0;75.0;60.0;50.0;6.47;3.87;66.47;53.87;85.13;73.45;11.68;63.67;54.09;9.58;14.82;9.61;323.0;157.0;0.0;192.67;256.8
17;72.0;75.0;60.0;50.0;6.74;3.7;66.74;53.7;95.32;77.02;18.3;61.79;52.55;9.24;15.52;9.4;323.0;157.0;0.0;205.38;247.66
18;72.0;75.0;60.0;50.0;7.05;3.62;67.05;53.62;75.08;58.7;16.38;66.25;56.02;10.23;11.76;10.12;323.0;157.0;0.0;214.8;253.61
19;72.0;75.0;60.0;50.0;5.34;3.89;65.34;53.89;62.83;53.0;9.83;63.64;53.35;10.28;10.83;9.51;323.0;157.0;0.0;224.21;266.49
20;72.0;75.0;60.0;50.0;4.92;3.66;64.92;53.66;80.13;70.28;9.85;63.13;53.05;10.08;14.2;9.63;323.0;157.0;0.0;237.87;261.74
21;72.0;75.0;60.0;50.0;6.46;3.7;66.46;53.7;79.91;68.99;10.92;53.21;46.78;6.42;13.94;8.36;323.0;157.0;0.0;248.25;266.13
22;72.0;75.0;60.0;50.0;6.34;3.21;66.34;53.21;91.39;75.26;16.13;59.88;54.2;5.68;15.21;9.65;323.0;157.0;0.0;261.96;256.22
23;72.0;75.0;60.0;50.0;6.91;3.71;66.91;53.71;93.83;73.0;20.83;60.78;54.81;5.97;14.64;9.89;323.0;157.0;0.0;274.05;249.04
24;72.0;75.0;60.0;50.0;6.65;3.8;66.65;53.8;69.5;53.48;16.02;67.76;59.0;8.75;10.71;10.54;323.0;157.0;0.0;283.04;257.01
